text,true_category,pred_category,text_length
"қазақстандық тұтқынның суреттері халықаралық аукциондарға шықты қазақстандық тұтқынның суреттері халықаралық аукциондарға шықты маңғыстау облысында түрмелердің біріндегі тұтқын леон вилдановтың картиналары халықаралық аукциондарда мың евродан сатылады. ""хабар-24"" телеарнасы ерекше тұтқын туралы сюжет түсірді, - деп хабарлайды tengrinews.kz тілшісі. маңғыстау облысында түрмелердің біріндегі тұтқын леон вилдановтың картиналары халықаралық аукциондарда мың евродан сатылады. ""хабар-24"" телеарнасы ерекше тұтқын туралы сюжет түсірді, - деп хабарлайды tengrinews.kz тілшісі. ер адамның таланты күтпеген жерден оянған. леон сурет сала алатынын және бұл істі жақсы көретінін түрмеге түскенде түсінген. ол алғашқы суретін арт-терапия кезінде салған. содан бері сурет салуды тоқтатқан емес. түрмеде отырған екі жыл ішінде тұтқын 20-дан аса сурет салған. таңғы 9-дан кешкі 6-ға дейін леон асханада аспаздың көмекшісі болып жұмыс істейді. тергеу изоляторының басшылығы айыпталушының өнерін байқап, оны дамыту үшін көмектесуі ұйғарған. қазір леонның алты картинасы халықаралық аукцион интернет-алаңдарының бірне қойылған. ""мен аукцион туралы бұрын білмедім, тек теледидардан естігенмін. олар бәрін өздері ұйымдастырады, мен тек сурет саламын. аукциондардан түскен ақша адамдарға пайда әкелгенін қалаймын. мен үшін сурет салу - бұл ішкі сезімдерді білдіру мүмкіндігі, бұл көп қырлы нәрсе. бұл өмір сүріп жатқан сәт сияқты ерекше"", - дейді вилданов. леон суреттерінен түскен ақшаны қайырымдылыққа жұмсайды. жас суретші жергілікті аукционнан түскен алғашқы кірісін көпбалалы отбасына жіберген. телеарна мәліметі бойынша, леон есірткі сатқаны үшін жазасын өтеп жатыр. бес жылға сотталған. жақсы мінез-құлық үшін ол мерзімінен бұрын босатылады. екі аптадан кейін суретші үйіне шығарылады. онда оны анасы мен әпкесі күтіп отыр, дейді тілшілер. сілтемесіз жаңалық оқисыз ба? онда ""вконтакте"" желісінде парақшамызға тіркеліңіз!",crime,other,1911
"алматыда балаларды ұрған балабақша тәрбиешісі өз-өзіне қол жұмсады алматыда балаларды ұрған балабақша тәрбиешісі өз-өзіне қол жұмсады алматыда балабақшада балаларды ұрып-соқты деген тәрбиеші өзіне қол жұмсады. ақпаратты қалалық полиция басқармасы растады, - деп хабарлайды tengrinews.kz тілшісі. алматыда балабақшада балаларды ұрып-соқты деген тәрбиеші өзіне қол жұмсады. ақпаратты қалалық полиция басқармасы растады, - деп хабарлайды tengrinews.kz тілшісі. ""алматы қаласының полиция департаменті 1979 жылы туған азаматша б-ның өзіне қол жұмсағанын растап отыр. қазіргі уақытта жетісу аудандық полиция бөлімі қр қылмыстық кодекстің 105-бабы бойынша соталды тергеу амалдарын жүргізіп жатыр. мән-жай анықталып жатыр"", - деді департаменттегілер. бұған дейін алматыда бейнебақылау камераларына түсіп қалған балабақша тәрбиешісінің әрекеті қазнет қолданушыларын ашуландырғаны хабарланған еді. кейін тәрбиеші бап бойынша жұмыстан шығарылғаны айтылды. әлеуметтік желіде балаларға қатыгездік танытқан тәрбиешінің видеосы жарияланды. басылым авторының айтуынша, балалардың еріні жырылып, денесінде көгерген іздер қалған. публикация от ирина советжанқызы (@irina_31tv)",international,social,1158
"""10 жыл құлдықта болдым"". полицейлер желіде көмек сұраған ер адамды тапты ""10 жыл құлдықта болдым"". полицейлер желіде көмек сұраған ер адамды тапты жетісу облысының полицейлері әлеуметтік желіде көп жыл еңбек құлдығында болғанын айтып, халықтан көмек сұраған ер адамды тапты, - деп хабарлайды tengrinews.kz тілшісі. жетісу облысының полицейлері әлеуметтік желіде көп жыл еңбек құлдығында болғанын айтып, халықтан көмек сұраған ер адамды тапты, - деп хабарлайды tengrinews.kz тілшісі. 22 қарашада әлеуметтік желіде 10 жыл қаратал ауданындағы шаруа қожалық иесінің құлдығында болғанын мәлімдеген ер адамның видеосы тарады. полицейлер видеоның авторы үштөбе қаласының 44 жастағы тұрғыны екенін анықтады. ер адам өзінің және отбасы мүшелерінің құжаттарын жұмыс беруші заңсыз иемденгенін айтады. ""қазір ер адамның өтініші ресми түрде тіркелді. оған қатысы бар барлық адамдардан түсініктеме алынды. яғни, шаруа қожалығының иесі, оның қызметкерлері, сондай-ақ жәбірленушінің туыстары. құжаттарды заңсыз алу дерегі бойынша тергеу амалдары басталды. қылмыстық іс аясында, өтініш берушінің еңбекті пайдалануы туралы келтірген дәлелдері де тексеріліп жатыр"", - деді облыс пд бастығының орынбасары елдар әбдікенов. полицейлердің айтуынша, ер адам мен қызына көмек көрсетілген. тергеу барысында олар талдықорған өңірлік ""әйелдерді қолдау орталығы"" қоғамдық бірлестігінің өкілдері ұсынған тұрғын үймен, киіммен және тамақпен қамтамасыз етілген. сондай-ақ, осы іс бойынша барлық тергеу әрекеттері облыстық полиция департаменті басшылығының ерекше бақылауына алынған. публикация от талдыкорганец (@taldykorganec.insta_)",other,crime,1603
"нұр-сұлтанда автобус трактормен соқтығысты нұр-сұлтанда автобус трактормен соқтығысты нұр-сұлтанда арнайы техника жолаушылар автобусына соқтығысып, салдарынан үш жолаушы зардап шекті, - деп хабарлайды tengrinews.kz тілшісі. нұр-сұлтанда арнайы техника жолаушылар автобусына соқтығысып, салдарынан үш жолаушы зардап шекті, - деп хабарлайды tengrinews.kz тілшісі. cts қалалық көлік компаниясы мәліметінше, оқиға сағат 13.30-да тәшенова көшесі мен республика даңғылы қиылысында болған. ""арнайы техникамен (трактор) №2 автобус соқтығысқан. оқиға салдарынан түрлі дене жарақаттарымен үш жолаушы ауруханаға жеткізілді"", - деді компанияның баспасөз қызметі өілдері. іс материалдары процессуалдық шешім қабылдау үшін полиция бөліміне жолданатыны айтылды.",crime,other,746
"қаскелеңде карантинде той өткізгендер анықталды қаскелеңде карантинде той өткізгендер анықталды бақылау тобы қаскелеңде карантин режимін бұзған мейрамхананы анықтады, - деп хабарлайды tengrinews.kz тілшісі. бақылау тобы қаскелеңде карантин режимін бұзған мейрамхананы анықтады, - деп хабарлайды tengrinews.kz тілшісі. қарасай ауданы пб полицейлері карантин режиміне қарамастан жұмысын жалғастырған кафе-мейрамханаларды анықтады. 2021 жылдың 14 тамызында сағат 17:14-те тексеру барысында қарасай ауданындағы ""мұзтау"" мейрамханасы карантинді сақтамай той ұйымдастырып, өткізіп жатқаны анықталған. сонымен қатар, келушілердің дене қызуын өлшеу жүргізілмегені анықталды. деректерге қатысты жинақталған материалдар шара қабылдау үшін қарасай ауданы бойынша санитариялық-эпидемиологиялық бақылау басқармасына жолданған. публикация от қарасай ауданы пб (@police_karasay)",other,health,863
"жигули дайрабаев ұлдарына тағылған тағы бір айыптауға жауап берді жигули дайрабаев ұлдарына тағылған тағы бір айыптауға жауап берді мәжіліс депутаты жигули дайрабаев ұлдарына тағылған тағы бір айыптауға қатысты пікір білдірді. бұған дейін бақ-та депутаттың балалары еңбек құлдығында адам ұстағаны туралы ақпарат пайда болған еді, - деп хабарлайды tengrinews.kz тілшісі. мәжіліс депутаты жигули дайрабаев ұлдарына тағылған тағы бір айыптауға қатысты пікір білдірді. бұған дейін бақ-та депутаттың балалары еңбек құлдығында адам ұстағаны туралы ақпарат пайда болған еді, - деп хабарлайды tengrinews.kz тілшісі. мәжіліс кулуарында дайрабаев бұл айыптарды жалған деп атады. ""бізде адвокат бар, ол мұның бәрімен айналысады. маған дайындалуға мүмкіндік беріңіздер"", - деп сұрады депутат журналистерден. дайрабаев бұл айыптау туралы айтқан адамды танымайтынын жеткізді. ""мені көп адам таниды. мүмкін, көрген шығар. 20 миллион адам көреді. ал мен бұл адамды танымаймын. бұл мәселемен заңгерлер арнайы айналысады. олардың жауабын күтеміз, сосын жауап беремін"", - деді депутат. еске салайық, бірқатар қазақстандық бақ-та жамбыл облысының 60 жастағы тұрғыны василий ковешников туралы ақпарат тараған болатын. ол өзін сәуір айында сотталған жигули дайрабаевтың кәсіпкер ұлдары марат дайрабаев пен дидар молдақалық еңбек құлдығында ұстағанын айтты. ковешников оны үйде күштеп ұстап, ұрып-соғып, еңбекақысын да төлемеген. бұған дейін жигули дайрабаев жылжымайтын мүлікке қатысты алаяқтық туралы мәлімдемелерге жауап берген болатын. facebook-парақшасында депутат жұмысының тығыздығына байланысты әлеуметтік желідегі өзі туралы тараған қауесеттерге ғана жауап бере алғанын айтып өтті. сонымен қатар, бұған дейін жамбыл облысында кеңес ауылының тұрғындары ауылшаруашылық компаниясын жерлерді басып алды деп айыптаған болатын. тұрғындардың айтуларынша, компания өз ауылындағы 10 мың гектар жерді алаяқтық жолмен иемденіп алған. ауыл тұрғындарына қаражат үлестірілгенімен олар ешқандай пайда көрмеген.",other,crime,1981
"қызылорда облысында тәулігіне 600 тонна шыны шығаратын кәсіпорын іске қосылды қызылорда облысында тәулігіне 600 тонна шыны шығаратын кәсіпорын іске қосылды тәуелсіздіктің 30 жылдығы мерекесінде cыр еліндегі ауқымды жобалардың бірі шыны зауыты іске қосылды. қызылорда облысына арнайы келген қр парламенті сенатының төрағасы мәулен әшімбаев пен облыс әкімі гүлшара әбдіқалықова зауыттың пешін іске қосу рәсіміне қатысып, ел игілігіне бағытталған кәсіпорынның жұмысына сәттілік тіледі, - деп хабарлайды tengrinews.kz тілшісі қызылорда облысы әкімінің баспасөз қызметіне сілтеме жасап. тәуелсіздіктің 30 жылдығы мерекесінде cыр еліндегі ауқымды жобалардың бірі шыны зауыты іске қосылды. қызылорда облысына арнайы келген қр парламенті сенатының төрағасы мәулен әшімбаев пен облыс әкімі гүлшара әбдіқалықова зауыттың пешін іске қосу рәсіміне қатысып, ел игілігіне бағытталған кәсіпорынның жұмысына сәттілік тіледі, - деп хабарлайды tengrinews.kz тілшісі қызылорда облысы әкімінің баспасөз қызметіне сілтеме жасап. кәсіпорын жылына 197,1 мың тонна, тәулігіне 600 тонна өнім шығара алады. бұл арқылы сырттан алатын өнімге деген тәуелділік азаяды, сондай-ақ, басқа мемлекеттерге деген экспорттың 30%-ын жүзеге асыруға мүмкіндік туады. зауытта әлемнің жетекші елдері - ақш, италия, бельгия, финляндия және қытайда шығарылған заманауи үлгідегі технологиялар қолданылады. кәсіпорында табақ шыны, энергия үнемдейтін шыны, айна, ламинатталған шыны, күйдірілген шыны өнім түрлері өндіріледі деп күтіледі. ""тәуелсіздігіміздің 30 жылдық мерейтойы қарсаңында жаңа технологияларды пайдаланып, бәсекеге қабілетті өнім шығаратын, еліміздің және өңір экономикасын дамытуға тың серпін беретін жоба - шыны өңдеу зауытын іске қостық. шыны өндіру барысында 90 пайыз жергілікті шикізат пайдаланылады. шыны бағасының 80 пайызын құрайтын негізгі компонент - кальцийленген сода. сондықтан, аралда салынатын сода зауытының негізгі тұтынушысы - осы зауытымыз болмақ. зауыт толық қуаттылыққа шыққанда 226 жаңа жұмыс орны, қосалқы өндірістерде 300-ге жуық тұрақты жұмыс орны құрылады, бірінші кезекте жергілікті мамандарға басымдық беріледі"", - деді қызылорда облысының әкімі гүлшара әбдіқалықова. негізінен, технологиялық талаптарға сай жоғары сапалы өнім алу үшін пешті алдын ала 3 ай бойы қыздыру қажет. бұл жұмыстар бірнеше кезеңде жүргізіледі. яғни, келер жылдың қаңтар айынан бастап пешті қыздырудың және шыны балқытудың негізгі кезеңі жүргізіледі. ал, ақпаннан-наурызға дейін пеш өзінің жұмыс режиміне шығып, пештің жұмыс температурасы 1600°с жетеді. ""орда гласс лтд"" мамандарының болжамы бойынша бірінші шыныны 2022 жылдың сәуір айында өндіруді жоспарлауда. айта кетейік, шыны зауытының айналасында шыныдан бұйымдар шығаратын ілеспе өндірістер құрылады. қазірдің өзінде инвесторлар тарапынан екі жобаның жобалау жұмыстары басталған. бұл композиттік материалдар мен айна өндірісі. шыны зауытының ашылуымен қатар бүгін сыр елінде 50 пәтерлік тұрғын үйдің кілті табысталып, жаңа ""naman аta"" спорттық сауықтыру кешені ашылды. сондай-ақ, ел дамуына үлес қосқан өз саласының майталман азаматтарына мемлекеттік наградалар мен тәуелсіздіктің 30 жылдығына арналған медаль табыстады. бұрынғы су шаруашылығы министрі нариман қыпшақбаев, қр парламенті сенатының депутаты мұрат бақтиярұлы және қр парламенті мәжілісінің депутаты тоқтар әубәкіров ""қызылорда облысының құрметті азаматы"" атанды.",politics,other,3353
"қаскелеңде фейк хабарламадан соң хқко-да ұзын-сонар кезек болды қаскелеңде фейк хабарламадан соң хқко-да ұзын-сонар кезек болды алматы облысы қаскелең қаласында хқко алдында фейк салдарынан ұзын-сонар кезек болды, - деп хабарлайды tengrinews.kz тілшісі. алматы облысы қаскелең қаласында хқко алдында фейк салдарынан ұзын-сонар кезек болды, - деп хабарлайды tengrinews.kz тілшісі. кезектегі адамдардың видеосы @kaskelenkz паблигінде жарияланды. кадрда адамдар қоршаудан өту үшін бір-біріна қатты жақын тұр. екі метр қашықтық деген ереже сақталмаған. хқко-да осындай сұмдық болып жатыр? ♂️? ♀️ egov қосымшасы дұрыс жұмыс істемейді дейді жұртшылық... ------------------------------------------------------------ что творится в цон-е?????? у вас легко получается оформлять документы онлайн? люди говорят что сайт egov зависает? @egov.zhetysu @egov.kz публикация от каскелен и карасайский район (@kaskelenkz) 1 июл 2020 в 11:34 pdt жазбаның астында адамдар egov.kz қосымшасы істен шығып қалғаны үшін онлайн қызмет көрсетпей жатқанын жазды. ""egov деген мүлдем жұмыс істемейді: қосымшасы да, сайты да. көптеген қызметін алып тастапты, әдейі ме? атаулы әлеуметтік көмек жолағы мүлдем жоқ және қоспады. құжаттарды сонда қалай тапсырамыз?"" - дейді қазақстандықтар. бұл мәселеге қатысты ""азаматтарға арналған үкімет"" мемлекеттік корпорациясының баспасөз қызметіндегілер түсініктеме берді. олар мұндай кезекке egov.kz порталы жұмысының еш қатысы жоқ екенін айтты. себебі ол штаттық режимде жұмыс істеп тұр екен. ""жақында карантин күшейтіліп, хқко жабылады деген жалған ақпарат тараған соң қарасай ауданындағы фронт-кеңсенің алдына жұмыс күні басталмай-ақ ұзын-сонар кезек болды. вирустың таралу қаупі жоғары болғандықтан, хқко ішіне адамдар көп жиналмауы үшін топ-топ қылып кіргізіп жатыр"", - деп түсіндірді ведомстводағылар. мемлекеттік корпорация өкілдері хқко-ның жұмыс кестесін де айтты. ""коронавирус инфекциясының жаппай таралуына байланысты алматы облысы бас санитар дәрігерінің шешіміне сәйкес, хқко сағат 10.00-ден 17.00-ге дейін жұмыс істейді. 5 шілдеден бастап карантин шаралары күшейгенімен, хқко жұмыс істей беретінін атап өткіміз келеді"", - деп қосты мемлекеттік корпорацияның баспасөз қызметіндегілер. қазақстан жаңалықтары. соңғы жаңалықтар. telegram желісінде бізге жазыл!",health,other,2276
"америкалық хакер жалғыз өзі солтүстік кореяда интернетті өшіріп тастаған америкалық хакер жалғыз өзі солтүстік кореяда интернетті өшіріп тастаған америкалық хакер пхеньянның өзіне қарсы жасаған кибершабуылына жауап ретінде солтүстік кореядағы интернетті өшіріп тастаған, - деп хабарлайды tengrinews.kz тілшісі daily mail басылымына сілтеме жасап. америкалық хакер пхеньянның өзіне қарсы жасаған кибершабуылына жауап ретінде солтүстік кореядағы интернетті өшіріп тастаған, - деп хабарлайды tengrinews.kz тілшісі daily mail басылымына сілтеме жасап. басылымның мәліметінше, p4x есімді хакер кхдр-ға қызмет көрсетуден бас тарту (dos) шабуылдарын жасаған, нәтижесінде көпшілікке қолжетімді бірнеше мемлекеттік сайт өшіріліп, электрондық пошта трафигі бәсеңдеген. шындығында, dos шабуылдары жүйені жалған трафикпен толтырады, қолжетімді өткізу қабілеттілігін тұтынады және серверлердің өңдеу қуатын шектейді, осылайша сайт қолжетімсіз болады. осылайша, хакер кхдр серверлері мен маршрутизаторларының осал тұстарын пайдаланып, оларға dos шабуылдарын жасаған. нәтижесінде, ол солтүстік кореяның барлық веб-сайттарын шамамен алты сағат бұғаттап тастаған. хакер оның мемлекетке жасаған кибершабуылының өзі кхдр тарапынан хакерлік құралдарды ұрлауға бағытталған кибершабуылдардың сәтсіз құрбаны болғаннан кейін жасалғанын түсіндірді. ақш билігі, кибершабуылдарға жауап бермеген сондықтан p4x мәселені өз қолына алуға шешім қабылдаған. ""олар қайта шабуыл жасаса инфрақұрылымының бір бөлігі біраз уақытқа құлдырайтынын түсінгенін қалаймын"", - деді хакер. солтүстік кореялықтардың көпшілігі үшін p4x хакерлік шабуылы байқалмай қалғаны айтылды. басылымның мәліметінше, кхдр азаматтарының бір пайызы ғана интернетті қолданады.",other,international,1711
"2 мыңға жуық мигрант беларусь шекарасынан иракқа оралды 2 мыңға жуық мигрант беларусь шекарасынан иракқа оралды беларусь шекарасында қалған 1876 ирак босқыны үйлеріне оралды, - деп хабарлайды tengrinews.kz тілшісі. беларусь шекарасында қалған 1876 ирак босқыны үйлеріне оралды, - деп хабарлайды tengrinews.kz тілшісі. бұл туралы ирактың ең ірі iraqi airways атты әуе компаниясы өзінің facebook желісіндегі ресми парақшасында мәлімдеді. әуе компаниясының мәлімдемесіне сәйкес, ирак әуе компаниялары түрлі сыйымдылықтағы бес эвакуациялық рейс ұйымдастырған, осы аптада тағы екеуі жоспарланған. 1876 мигранттың қатарына тіркеуде жоқ кішкентай балалар енбеген. олар ата-аналарымен бірге өткен. ирактың ресей мен беларуссиядағы консулы маджид әл-кинани бір күн бұрын 1000-нан аса мигрант беларуссиядан өз отандарына ерікті түрде оралуға ниет білдіргенін айтты. кейінгі аптада iraqi airways ұшағы минскіден 430-дан аса мигрантты, басым көпшілігі ирак күрдтерін алып кеткен. эрбилдегі аралық аялдамадан кейін олар бағдадқа жеткізілген. ал 28 қарашаға жоспарланған iraqi airways арқылы жүзеге асырылатын рейс тоқтатылған. ©reuters енді беларусь-польша шекарасында тұрып қалған ирак азаматтарын минск әуежайынан иракқа эвакуациялауға арналған келесі рейстер дүйсенбі, 29 қараша және сейсенбі, 30 қараша, 13.45-те жоспарланған. уақыты өзгерсе, әуежайда ескертіледі. еске салайық, кейінгі айларда негізінен таяу шығыстан келген босқындар батыс еуропада тұрақтау үшін беларусьтен польшаға, литваға және ео-ның басқа елдеріне кетуге тырысты. кейінірек ирак польша-беларусь шекарасынан өз азаматтарын қайтаруға шешім қабылдады. 19 қарашада минсктен кеткен ирак мигранттары мінген бірінші рейс бағдадқа қонды.",politics,other,1694
