,precision,recall,f1-score,support,Model
crime,0.5668449197860963,0.6127167630057804,0.5888888888888889,173.0,xlm-roberta-base
economy,0.6585365853658537,0.5625,0.6067415730337079,96.0,xlm-roberta-base
education,0.56,0.35443037974683544,0.43410852713178294,79.0,xlm-roberta-base
health,0.866822429906542,0.866822429906542,0.866822429906542,428.0,xlm-roberta-base
international,0.6494845360824743,0.45985401459854014,0.5384615384615384,137.0,xlm-roberta-base
other,0.7600806451612904,0.7693877551020408,0.7647058823529411,980.0,xlm-roberta-base
politics,0.6932515337423313,0.7713310580204779,0.7302100161550888,293.0,xlm-roberta-base
social,0.36764705882352944,0.4032258064516129,0.38461538461538464,62.0,xlm-roberta-base
sports,0.8585365853658536,0.9411764705882353,0.8979591836734694,187.0,xlm-roberta-base
accuracy,0.7404517453798768,0.7404517453798768,0.7404517453798768,0.7404517453798768,xlm-roberta-base
macro avg,0.6645782549148858,0.6379382974911184,0.6458348249132605,2435.0,xlm-roberta-base
weighted avg,0.7379241295755469,0.7404517453798768,0.7368856648189204,2435.0,xlm-roberta-base
crime,0.6190476190476191,0.5260115606936416,0.56875,173.0,bert-base-multilingual-cased
economy,0.7361111111111112,0.5520833333333334,0.6309523809523809,96.0,bert-base-multilingual-cased
education,0.6125,0.620253164556962,0.6163522012578616,79.0,bert-base-multilingual-cased
health,0.8694638694638694,0.8714953271028038,0.8704784130688448,428.0,bert-base-multilingual-cased
international,0.6301369863013698,0.6715328467153284,0.6501766784452296,137.0,bert-base-multilingual-cased
other,0.7709163346613546,0.789795918367347,0.780241935483871,980.0,bert-base-multilingual-cased
politics,0.7209302325581395,0.7406143344709898,0.7306397306397306,293.0,bert-base-multilingual-cased
social,0.46,0.3709677419354839,0.4107142857142857,62.0,bert-base-multilingual-cased
sports,0.8592233009708737,0.946524064171123,0.9007633587786259,187.0,bert-base-multilingual-cased
accuracy,0.7593429158110883,0.7593429158110883,0.7593429158110883,0.7593429158110883,bert-base-multilingual-cased
macro avg,0.6975921615682598,0.6765864768163348,0.6843409982600923,2435.0,bert-base-multilingual-cased
weighted avg,0.7558661319938169,0.7593429158110883,0.7564343079543265,2435.0,bert-base-multilingual-cased
crime,0.5985915492957746,0.4913294797687861,0.5396825396825397,173.0,distilbert-base-multilingual-cased
economy,0.6756756756756757,0.5208333333333334,0.5882352941176471,96.0,distilbert-base-multilingual-cased
education,0.6144578313253012,0.6455696202531646,0.6296296296296297,79.0,distilbert-base-multilingual-cased
health,0.851508120649652,0.8574766355140186,0.8544819557625145,428.0,distilbert-base-multilingual-cased
international,0.6068376068376068,0.5182481751824818,0.5590551181102362,137.0,distilbert-base-multilingual-cased
other,0.7598425196850394,0.7877551020408163,0.7735470941883767,980.0,distilbert-base-multilingual-cased
politics,0.7218543046357616,0.7440273037542662,0.7327731092436974,293.0,distilbert-base-multilingual-cased
social,0.4,0.41935483870967744,0.4094488188976378,62.0,distilbert-base-multilingual-cased
sports,0.8536585365853658,0.9358288770053476,0.8928571428571429,187.0,distilbert-base-multilingual-cased
accuracy,0.7453798767967146,0.7453798767967146,0.7453798767967146,0.7453798767967146,distilbert-base-multilingual-cased
macro avg,0.6758251271877975,0.6578248183957657,0.6644123002766026,2435.0,distilbert-base-multilingual-cased
weighted avg,0.7413259655990209,0.7453798767967146,0.7421002145328645,2435.0,distilbert-base-multilingual-cased
